jgd_id;jgd_old_id;jgd_tag;jgd_nome;jgd_pis_id
237;61e566bada9d7ca1c7ba502e;Sauce;;2
238;60c46a3a9fc1a47e5f111999;SchalkG;;2
239;619e6277f8090ec74528dbfc;Septer;;2
240;61e56839da9d7ca1c7ba5071;Serenity;;2
241;61a4a8eaf8090ec74528e063;shotzyy;;2
242;616fe556f8090ec745288758;shyon;;2
243;61800f62143c37878b23bd09;Sickii;;2
244;621ca5eac437fde7e02d0fd6;Solitude;;2
245;6284dee9c437fde7e02d7034;SONIC-_1397;;2
246;61801185143c37878b23bd9c;Sonnar92;;2
247;61801153f8090ec74528a649;Strutic;;2
248;61f915dfda9d7ca1c7ba755e;Sub-Zero;;2
249;61731698143c37878b23a133;Sweaty_Clarence;;2
250;61e56868c437fde7e02ccbf7;Syfohn.;;2
251;6193c487143c37878b23d962;TechnicEagle75;;2
252;61a4aa3a143c37878b23f555;TheKeychain22;;2
253;61a4a954143c37878b23f507;TimmyJS;;2
254;61f91694da9d7ca1c7ba759b;Trstn;;2
255;60c46906490bd8649dd30e5b;True Jeff;;2
256;61fe4df6da9d7ca1c7ba7c8c;VuDu;;2
257;60bb4e1bbd0db240d7a31f8d;Wee_Casper;;2
258;60bb4e1bbd0db240d7a31f8b;YoPeGo;;2
259;619e62a1143c37878b23f077;Yujn.;;2
260;6180109bf8090ec74528a616;Zeph;;2
261;60d08e2288116f536df975a1;Zero;;2
262;619e61cb143c37878b23f057;zzzFL3Xzzz;;2
263;61daef8bda9d7ca1c7ba3d33;3mari;;3
264;61ed28c5da9d7ca1c7ba5b2e;683h;;3
265;6266d944da9d7ca1c7bacf12;Abdullah3nb;;3
266;5f3d8fdd95f40596eae241a4;abood.;;3
267;60c1eb7c490bd8649dd30c04;Adot.;;3
268;61896ba2143c37878b23d12c;AMJD-K-S-A;;3
269;6179536a143c37878b23aeac;Amory;;3
270;5f3d8fdd95f40596eae2417e;Anas;;3
271;627b98b0da9d7ca1c7baec22;arb.;;3
272;61896a91143c37878b23d0eb;BetterCallYousef;;3
273;61896ba2143c37878b23d12d;BKQSS;;3
274;5f3d8fdd95f40596eae24182;bo0odi44;;3
275;6169e1f0f8090ec745287c7e;Bodi;;3
276;5f3d8fdd95f40596eae24174;Brownie.;;3
277;61896953f8090ec74528bb73;Devezy;;3
278;6213e30cc437fde7e02d07e0;dlfi.;;3
279;61daed76c437fde7e02cb7c9;Eenox;;3
280;5f3d8fdd95f40596eae24399;Eizo;;3
281;620a7c2fc437fde7e02cff2a;Errorless;;3
282;607d7db2473f172e4c0d3fa1;EviL97;Ali Alshehri;3
283;6266db7ec437fde7e02d4903;f9.;;3
284;616320b0f8090ec745287471;Fahad.;;3
285;61ed28c5da9d7ca1c7ba5b2c;FaHaD KING;;3
286;628cd2c5c437fde7e02d8053;Faisal;;3
287;6266d9e0da9d7ca1c7bacf45;Fares;;3
288;628cd2c5c437fde7e02d8054;Fxlr;;3
289;5f3d8fdd95f40596eae2438f;Glowz;;3
290;61ed2bebda9d7ca1c7ba5b68;Gwlany;;3
291;6179545bf8090ec74528960f;Hatem.;;3
292;61ed2beada9d7ca1c7ba5b67;Heisenberg;;3
293;61896b37143c37878b23d10f;HERO;;3
294;61daed15da9d7ca1c7ba3ca9;HMO;;3
295;627b97c8da9d7ca1c7baebe9;i8hw2;;3
296;5f3d8fdd95f40596eae24171;ix;;3
297;6193d275143c37878b23dc20;ixKillerx;;3
298;61daedebda9d7ca1c7ba3cdc;J8r;;3
299;628cd1fac437fde7e02d801a;Jowid;;3
300;60c1eb7c490bd8649dd30c03;JSM;;3
301;6266da5dda9d7ca1c7bacf5b;King.;;3
302;61daedb6da9d7ca1c7ba3ccd;King_Xx21;;3
