stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
106,1.53,0.41,1.53,0.24,320.59,15.1,419.12,49.4,2479.12,477.59,1789.47,316.24,689.65,161.35,21.47,3.59,57.94,13.53,1478.65,491321.82,2886.88,2839.35,2934.94,3676.18,0.47,0.76,18.63,1
107,2.06,0.6,1.52,0.36,332.3,19.89,331.62,56.85,2057.06,506.93,1192.36,260.35,864.69,246.58,15.06,3.38,77.46,21.85,1426.35,492050.38,2970.67,2917.42,3019.8,3634.71,0.76,1.02,35.76,1
108,2.4,0.78,1.2,0.55,339.03,23.03,407.11,47.94,2482.0,645.95,1698.13,395.59,783.87,250.36,19.99,4.56,68.41,21.64,1517.24,517999.82,2919.92,2823.07,3018.78,3671.98,1.47,1.13,41.51,0
109,2.21,0.56,1.13,0.57,313.44,12.79,360.74,52.78,2233.03,491.51,1456.09,282.9,776.94,208.62,17.94,3.42,68.1,17.76,1442.79,495765.77,2912.57,2867.67,2947.84,3622.97,0.55,0.83,33.11,1
110,2.55,0.76,1.43,0.52,352.65,19.07,414.48,51.52,2501.91,540.88,1545.2,268.19,956.71,272.69,19.37,3.35,68.63,18.2,1563.65,534226.88,2804.91,2701.01,2896.27,3728.78,0.75,0.97,40.1,0
111,1.64,0.29,1.67,0.26,287.5,11.71,278.0,50.62,1761.19,345.83,1113.45,197.62,647.74,148.21,14.57,2.4,56.62,12.95,1387.5,479347.71,3151.43,3086.21,3197.74,3829.21,0.74,0.43,29.44,2
112,2.35,0.75,1.36,0.55,351.87,24.31,395.21,46.23,2360.91,491.62,1629.8,274.54,731.1,217.08,19.44,3.18,62.4,18.49,1495.41,507647.17,2982.09,2879.15,3082.92,3795.44,0.85,1.01,52.16,1
113,2.0,0.64,1.24,0.36,316.45,27.62,384.74,46.0,2316.79,448.33,1689.12,287.9,627.67,160.43,19.29,3.21,54.24,13.79,1500.19,513086.52,2885.62,2786.55,2971.14,3548.88,0.6,1.07,40.16,1
114,1.94,0.47,1.35,0.41,278.53,14.46,345.94,49.86,2047.35,388.09,1171.0,167.32,876.35,220.76,14.91,2.18,70.76,18.03,1503.5,512151.62,2849.29,2803.71,2878.29,3600.56,0.5,0.65,25.1,2
115,2.0,0.88,0.5,0.38,266.12,22.71,308.62,50.21,1974.0,273.5,1536.5,174.75,437.5,98.75,17.62,2.12,39.0,8.62,1443.75,486600.5,3084.12,3080.0,3086.0,3702.38,0.75,0.88,45.0,2
116,1.94,0.6,1.29,0.55,324.89,24.92,407.59,49.6,2433.5,519.11,1691.87,312.08,741.63,207.02,20.53,3.78,65.39,18.2,1515.05,513791.31,2926.08,2862.93,2977.67,3674.5,0.93,0.93,36.8,1
117,0.89,0.11,1.67,0.0,266.56,5.56,347.44,44.56,1969.44,344.56,1141.11,195.67,828.33,148.89,14.89,2.56,70.67,12.11,1432.78,481657.67,3026.11,2904.89,3089.78,3712.67,1.0,0.89,11.11,2
